"ii","Dim2","rr","Val"
"coa","isr","USA",0.0124570690095425
"coa","isr","ROW",0.0335776928586711
"coa","obs","USA",0.0544827282428741
"coa","obs","ROW",4.3352920642501
"coa","ros","USA",0.125208258628845
"coa","ros","ROW",4.68379996421254
"coa","osg","USA",0.497919857501984
"coa","osg","ROW",17.7813506167458
"coa","dwe","USA",7.90220583439805E-5
"coa","dwe","ROW",0.00942240395056615
"coa","pdr","ROW",0.555102222270307
"coa","wht","USA",2.46160088863689E-5
"coa","wht","ROW",0.703211293408003
"coa","gro","USA",6.12289950367995E-5
"coa","gro","ROW",0.735088964799843
"coa","v_f","USA",2.49678378168028E-5
"coa","v_f","ROW",2.6896744446185
"coa","osd","USA",1.6363175745937E-5
"coa","osd","ROW",0.375315418194077
"coa","c_b","ROW",0.120366660928994
"coa","pfb","USA",1.85539556696313E-5
"coa","pfb","ROW",0.337613399723978
"coa","ocr","USA",4.65870743937558E-6
"coa","ocr","ROW",0.136040136072324
"coa","ctl","USA",2.06818695005495E-5
"coa","ctl","ROW",0.571141115465252
"coa","oap","USA",1.24631351354765E-5
"coa","oap","ROW",2.38777375020345
"coa","rmk","USA",1.33855828607921E-5
"coa","rmk","ROW",0.278251514290787
"coa","wol","ROW",0.237234916677608
"coa","frs","USA",4.08168125431985E-5
"coa","frs","ROW",0.826222278418811
"coa","fsh","ROW",0.468911170561569
"coa","coa","USA",0.270865678787231
"coa","coa","ROW",39.0633722175762
"coa","oil","USA",8.47314368002117E-5
"coa","oil","ROW",0.0515351774847659
"coa","gas","USA",1.98860941670137
"coa","gas","ROW",13.1763603706208
"coa","omn","USA",0.0149969765916467
"coa","omn","ROW",6.45465900130966
"coa","cmt","USA",0.51474541425705
"coa","cmt","ROW",0.517467086459419
"coa","omt","USA",0.206676557660103
"coa","omt","ROW",0.327023025007293
"coa","vol","USA",0.268626004457474
"coa","vol","ROW",1.31928409980765
"coa","mil","USA",0.315387487411499
"coa","mil","ROW",2.50997353249704
"coa","pcr","USA",0.0363698564469814
"coa","pcr","ROW",0.133786094690777
"coa","sgr","USA",0.296698570251465
"coa","sgr","ROW",0.549233606863254
"coa","ofd","USA",1.64958667755127
"coa","ofd","ROW",8.14745955556737
"coa","b_t","USA",0.664758384227753
"coa","b_t","ROW",6.74235766489028
"coa","tex","USA",0.0798006430268288
"coa","tex","ROW",6.86127685223369
"coa","wap","USA",0.0335295312106609
"coa","wap","ROW",4.06489661920796
"coa","lea","USA",0.00264499057084322
"coa","lea","ROW",0.52646641131696
"coa","lum","USA",0.0328992083668709
"coa","lum","ROW",2.90583587407332
"coa","ppp","USA",3.81509351730347
"coa","ppp","ROW",15.772275658016
"coa","p_c","USA",9.25960636138916
"coa","p_c","ROW",431.550653451356
"coa","crp","USA",4.13942050933838
"coa","crp","ROW",56.7706520907458
"coa","nmm","USA",5.17687225341797
"coa","nmm","ROW",169.586306831128
"coa","i_s","USA",0.707303106784821
"coa","i_s","ROW",98.5713961958281
"coa","nfm","USA",0.021104721352458
"coa","nfm","ROW",12.928635364714
"coa","fmp","USA",0.0256405007094145
"coa","fmp","ROW",5.30299178573978
"coa","mvh","USA",0.0658245608210564
"coa","mvh","ROW",2.12255478445218
"coa","otn","USA",0.0261624865233898
"coa","otn","ROW",1.35668285693055
"coa","ele","USA",0.0250244177877903
"coa","ele","ROW",1.00948461686369
"coa","ome","USA",0.124157011508942
"coa","ome","ROW",6.9830936371057
"coa","omf","USA",0.0533719398081303
"coa","omf","ROW",3.69478140526326
"coa","ely","USA",437.112915039062
"coa","ely","ROW",1570.29454105169
"coa","wtr","USA",0.155605420470238
"coa","wtr","ROW",1.19051537457017
"coa","cns","USA",0.0117413317784667
"coa","cns","ROW",7.89943930456002
"coa","trd","USA",0.510932385921478
"coa","trd","ROW",9.84417361234182
"coa","otp","USA",0.00935285445302725
"coa","otp","ROW",4.45641995002097
"coa","wtp","USA",0.0474807806313038
"coa","wtp","ROW",0.183125514307221
"coa","atp","USA",0.000195150976651348
"coa","atp","ROW",0.0979284696745708
"coa","cmn","USA",0.0167877431958914
"coa","cmn","ROW",0.259510246808532
"coa","ofi","USA",0.0539982467889786
"coa","ofi","ROW",0.20190241743262
"coa","c","USA",0.0642688199877739
"coa","c","ROW",65.7267740107063
"coa","g","USA",0.00075213226955384
"coa","g","ROW",0.00378938632366044
"oil","isr","ROW",0.000289793302556518
"oil","obs","USA",2.92098211502889E-5
"oil","obs","ROW",0.0737213103639078
"oil","ros","ROW",0.0151899048299242
"oil","osg","USA",8.23186553589039E-7
"oil","osg","ROW",0.00504271253998922
"oil","dwe","ROW",0.00134554515466334
"oil","pdr","ROW",0.000119054178298938
"oil","wht","ROW",0.000370957868710775
"oil","gro","USA",8.40906523080776E-7
"oil","gro","ROW",0.000527773696376244
"oil","v_f","ROW",0.00975338327361897
"oil","osd","ROW",0.000165034534461483
"oil","c_b","ROW",0.00011314646997107
"oil","pfb","ROW",0.000914434127366803
"oil","ocr","ROW",0.000459209435632602
"oil","ctl","ROW",0.000485622688927378
"oil","oap","ROW",0.000215107246617663
"oil","rmk","ROW",0.000204081092590513
"oil","wol","ROW",0.000224350813937235
"oil","frs","USA",3.32497279487143E-6
"oil","frs","ROW",0.0128274292392234
"oil","fsh","USA",6.79115260027174E-7
"oil","fsh","ROW",0.00360143176078509
"oil","coa","USA",6.27094095762004E-6
"oil","coa","ROW",0.00476946644340615
"oil","oil","USA",0.0253954268991947
"oil","oil","ROW",3.31011838345751
"oil","gas","USA",0.153321207500994
"oil","gas","ROW",1.99939188028759
"oil","omn","USA",1.01507648651022E-5
"oil","omn","ROW",0.0263037459020552
"oil","cmt","USA",1.32136983665987E-5
"oil","cmt","ROW",0.0235718748651834
"oil","omt","USA",4.1315179259982E-6
"oil","omt","ROW",0.0197239426366309
"oil","vol","USA",3.69074814443593E-6
"oil","vol","ROW",0.0135704871705116
"oil","mil","USA",8.92418574949261E-6
"oil","mil","ROW",0.0480172630272477
"oil","pcr","ROW",0.00850890319912878
"oil","sgr","USA",3.12289853354741E-6
"oil","sgr","ROW",0.00519388499265006
"oil","ofd","USA",1.1873748007929E-5
"oil","ofd","ROW",0.135299408814262
"oil","b_t","USA",1.89516576938331E-5
"oil","b_t","ROW",0.0890537912947593
"oil","tex","USA",2.28965041060292E-6
"oil","tex","ROW",0.119642317835769
"oil","wap","ROW",0.0243064885494277
"oil","lea","ROW",0.00582610312636689
"oil","lum","USA",8.8229491666425E-5
"oil","lum","ROW",0.0141872715911404
"oil","ppp","USA",2.48336200456833E-5
"oil","ppp","ROW",0.0163035539103475
"oil","p_c","USA",289.576446533203
"oil","p_c","ROW",1366.30893548843
"oil","crp","USA",0.0256971381604671
"oil","crp","ROW",6.89967349586573
"oil","nmm","USA",3.14995013468433E-5
"oil","nmm","ROW",0.331325893804092
"oil","i_s","USA",3.72589747712482E-5
"oil","i_s","ROW",0.168628334748405
"oil","nfm","USA",9.29849993553944E-5
"oil","nfm","ROW",0.0213532727443635
"oil","fmp","USA",2.18758814298781E-5
"oil","fmp","ROW",0.080353812187127
"oil","mvh","USA",3.83380720450077E-5
"oil","mvh","ROW",0.00623329631326897
"oil","otn","USA",3.21357692882884E-5
"oil","otn","ROW",0.012260660125321
"oil","ele","USA",7.63452862884151E-6
"oil","ele","ROW",0.00563556472212667
"oil","ome","USA",0.000191413186257705
"oil","ome","ROW",0.478525022977692
"oil","omf","USA",2.05429705602E-6
"oil","omf","ROW",0.25247034100255
"oil","ely","USA",0.0150202522054315
"oil","ely","ROW",33.3484862383922
"oil","wtr","USA",0.000719262927304953
"oil","wtr","ROW",0.366323514795681
"oil","cns","USA",9.47291482589208E-6
"oil","cns","ROW",0.202203738427386
"oil","trd","USA",0.000491474405862391
"oil","trd","ROW",0.0457308644195678
"oil","otp","USA",0.0129892555996776
"oil","otp","ROW",0.0901914279088487
"oil","wtp","ROW",0.0179742021878155
"oil","atp","USA",9.90650164567342E-7
"oil","atp","ROW",0.00163915863151942
"oil","cmn","ROW",0.065221029153065
"oil","ofi","USA",2.25569988288044E-6
"oil","ofi","ROW",0.00189439965276961
"oil","c","USA",4.64146469312254E-5
"oil","c","ROW",0.129852822348539
"oil","g","ROW",0.000102701961964158
"gas","isr","USA",0.295075147412717
"gas","isr","ROW",0.222309433534065
"gas","obs","USA",3.81521326303482
"gas","obs","ROW",8.8426240606293
"gas","ros","USA",8.50218774331734
"gas","ros","ROW",4.07468119124246
"gas","osg","USA",31.0027351304889
"gas","osg","ROW",18.909593837664
"gas","dwe","USA",0.0182501282542944
"gas","dwe","ROW",0.0144022286148129
"gas","pdr","USA",0.0173323651097235
"gas","pdr","ROW",0.0081077556078526
"gas","wht","USA",0.144184956341633
